orbital_period,transit_duration,transit_depth,planet_radius,planet_radiuJ,pl_masse,pl_massj,insolation,equilibrium_temp,pl_orbeccen,inclination,stellar_temp,stellar_radius,stellar_mass,st_met,stellar_logg,discoverymethod,disposition
3.80464,2.7888,0.1357,1.22,0.10884111,12.2,0.0383853,78,809,0.075,88.6971,5293,0.8640925,1.073,-0.01,4.4905,Transit,CONFIRMED
7.28161,2.7888,0.1357,1.78,0.159,12.2,0.0383853,78,518,0.075,88.6971,3742,0.49,0.88,-0.08,4.4905,Transit,CANDIDATE
7.28116,2.7888,0.1357,1.79,0.16,12.2,0.0383853,78,809,0.075,88.28,3726,0.541438,0.537488,-0.01,4.70134,Transit,CANDIDATE
7.28076,1.872,0.1293,2.6,0.23,12.2,0.0383853,78,809,0.075,88.6971,5293,0.399,0.88,-0.01,4.4905,Transit,CANDIDATE
7.28138,1.32,0.1357,17,1.5,12.2,0.0383853,78,809,0.075,88.6971,3784,0.399,0.88,-0.01,4.883,Transit,CANDIDATE
7.28131,1.31,0.116,1.9,0.16950665,12.2,0.0383853,78,809,0.075,88.6971,3748,0.51,0.88,-0.01,4.4905,Transit,CANDIDATE
4.58328,2.208,0.152,2.21,0.197,12.2,0.0383853,78,809,0.075,88.6971,5293,0.545,0.88,-0.01,4.4905,Transit,CANDIDATE
1.65336,1.608,0.0686,1.51,0.135,12.2,0.0383853,78,809,0.075,88.6971,5293,0.545,0.88,-0.01,4.4905,Transit,CANDIDATE
5.28081,3.26904,0.1357,10.9,0.97,12.2,0.0383853,78,809,0.075,88.6971,6227,3.01,0.88,-0.01,3.676,Transit,CANDIDATE
5.28130579,3.552,0.074,2.6,0.23142158,12.2,0.0383853,78,809,0.075,88.6971,6161.41,2.66957,1.17,0.047,3.65337,Transit,CANDIDATE
440,2.7888,0.1357,16.3,1.45,12.2,0.0383853,78,809,0.075,88.6971,4600,0.85,0.88,-0.01,4.4905,Transit,CANDIDATE
30,2.7888,0.1357,22.8,2.03,12.2,0.0383853,78,809,0.075,88.6971,3400,0.89,0.88,-0.01,4.4905,Transit,CANDIDATE
6.738783,5.16,3.177,24.9,2.22,12.2,0.0383853,78,809,0.075,88.6971,5293,0.6009,0.88,-0.01,4.4905,Transit,CANDIDATE
7.655533,3,0.1357,2.328,0.20769061,12.2,0.0383853,78,809,0.075,88.6971,5114,0.751,1.004,-0.144,4.687,Transit,CANDIDATE
27.770388,3.14,10.6,25.1,2.23927201,12.2,0.0383853,78,809,0.075,88.6971,4598,0.71,0.88,-0.01,4.4905,Transit,FALSE POSITIVE
27.77045,2.7888,0.1357,32.79,2.925,12.2,0.0383853,78,441,0.075,88.6971,5086,8.15,0.88,-0.17,4.4905,Transit,FALSE POSITIVE
0.259669,2.7888,0.1357,0.77,0.069,12.2,0.0383853,78,809,0.075,82.1,4340,0.69,0.88,-0.81,4.25,Transit,CANDIDATE
0.25967056,0.5,0.0132,0.742,0.06619681,12.2,0.0383853,78,809,0.075,88.6971,3982,0.59,0.88,-0.01,4.4905,Transit,CANDIDATE
5.54583,2.088,0.0152,0.441,0.0393,12.2,0.0383853,78,809,0.075,88.6971,5293,0.34,0.88,-0.01,4.4905,Transit,CANDIDATE
18.4502,3.72,0.085,2.52,0.225,12.2,0.0383853,78,809,0.075,88.6971,5293,0.717,0.88,-0.01,4.4905,Transit,CANDIDATE
35.621,2.7888,0.045,1.89,0.1686148,12.2,0.0383853,78,420,0.075,89.77,5440,0.898,0.954,-0.01,4.512,Transit,CANDIDATE
4.1333,1.704,0.112,1.2,0.11,12.2,0.0383853,78,809,0.075,88.6971,5293,0.312,0.88,-0.01,4.4905,Transit,CANDIDATE
