orbital_period,transit_duration,transit_depth,koi_ror,planet_radius,koi_sma,inclination,equilibrium_temp,insolation,koi_srho,stellar_temp,stellar_logg,stellar_radius,stellar_mass,disposition
8.10363271,3.161,887.9,0.026361,2.11,0.0712,89.87,687.0,52.82,2.33533,4861.0,4.574,0.732,0.733,CONFIRMED
4.71510843,2.506,417.5,0.018268,1.46,0.0496,88.96,823.0,108.84,2.42359,4861.0,4.574,0.732,0.733,CONFIRMED
6.365839713,2.9721,780.7,0.026275,2.44,0.0659,87.92,914.0,165.33,1.41102,5776.0,4.554,0.849,0.939,CONFIRMED
5.97581754,3.065,962.4,0.035468,3.86,0.066,81.71,1047.0,284.25,0.14724,6108.0,4.471,0.997,1.072,FALSE POSITIVE
2.446737317,4.7211,1177.9,0.278526,26.25,0.0351,44.81,1261.0,597.19,0.01691,5764.0,4.548,0.863,0.959,FALSE POSITIVE
3.04033046,1.8411,10859.0,0.104023,8.99,0.0374,85.95,1021.0,257.29,2.31195,5035.0,4.519,0.791,0.754,CONFIRMED
15.33528675,3.897,3081.4,0.056,5.0,0.1179,87.95,610.0,32.67,0.81659,5251.0,4.581,0.817,0.926,CONFIRMED
7.95825328,4.377,50.0,0.006915,1.06,0.0809,85.95,1074.0,314.15,0.29918,5847.0,4.191,1.402,1.113,CONFIRMED
31.33046135,5.176,5073.8,0.072904,6.5,0.1898,88.62,481.0,12.61,0.70448,5251.0,4.581,0.817,0.926,CONFIRMED
3.9043425,3.831,16228.0,0.125229,12.28,0.0484,84.06,1104.0,351.05,0.39988,5810.0,4.526,0.898,0.989,FALSE POSITIVE
9.286358079,3.49949,44791.0,0.19639,17.61,0.081,89.06,796.0,95.03,2.67897,5670.0,4.523,0.821,0.82,FALSE POSITIVE
3.951405455,2.1862,2453.9,0.331342,31.44,0.0482,76.4,1133.0,388.71,0.19337,6046.0,4.539,0.869,0.953,FALSE POSITIVE
23.65369415,8.2183,3341.8,0.05219,7.89,0.1658,89.98,731.0,67.65,0.41907,5739.0,4.191,1.384,1.083,CONFIRMED
13.23352214,6.7372,504.6,0.020278,3.06,0.1126,89.95,888.0,146.67,0.3884,5739.0,4.191,1.384,1.083,CONFIRMED
6.15560285,4.9843,285.0,0.015336,2.32,0.0676,88.56,1146.0,406.94,0.40662,5739.0,4.191,1.384,1.083,CONFIRMED
2.090811305,3.388,115.9,0.010686,1.62,0.0329,77.03,1642.0,1718.04,0.1588,5739.0,4.191,1.384,1.083,CONFIRMED
3.180027898,3.5797,120.3,0.009989,1.53,0.0439,88.34,1458.0,1066.86,0.5756,5847.0,4.191,1.402,1.113,CONFIRMED
50.4467417,7.159,370.3,0.01767,2.67,0.2747,89.57,568.0,24.64,0.97794,5739.0,4.191,1.384,1.083,CONFIRMED
11.76307164,2.9076,1037.3,0.028519,2.35,0.0954,89.91,616.0,33.99,4.37951,4959.0,4.603,0.756,0.849,CONFIRMED
56.2279271,3.57,862.7,0.028683,2.37,0.2707,89.56,366.0,4.22,4.47051,4959.0,4.603,0.756,0.849,CONFIRMED
2.384052875,3.0918,1268.1,0.222925,17.06,0.0308,58.76,1010.0,244.87,0.03902,4794.0,4.58,0.701,0.683,FALSE POSITIVE
